
3.foreman, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 51.14dB                                       
4.foreman, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 49.69dB                                       
5.foreman, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 35.09dB                                        
6.foreman, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 19.57dB                                        
7.foreman, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 51.73dB                                       
8.foreman, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 49.74dB                                       
9.foreman, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 53.83dB                                        
10.foreman, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 42.80dB                                       
11.foreman, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 53.70dB                                      
12.foreman, DC_QP: 1, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 52.67dB                                      
13.foreman, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 14.49dB                                      
14.foreman, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 10.06dB                                      
15.foreman, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 30.36dB                                     
16.foreman, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 30.00dB                                     
17.foreman, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 15.62dB                                      
18.foreman, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 11.50dB                                      
19.foreman, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 30.59dB                                     
20.foreman, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 30.11dB                                     
21.foreman, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 32.54dB                                      
22.foreman, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 23.93dB                                      
23.foreman, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 32.26dB                                     
24.foreman, DC_QP: 1, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 31.49dB                                     
25.foreman, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 24.10dB                                       
26.foreman, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 11.46dB                                       
27.foreman, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 46.16dB                                      
28.foreman, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 44.16dB                                      
29.foreman, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 27.19dB                                       
30.foreman, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 13.88dB                                       
31.foreman, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 45.99dB                                      
32.foreman, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 45.18dB                                      
33.foreman, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 48.89dB                                       
34.foreman, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 39.02dB                                       
35.foreman, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 48.94dB                                      
36.foreman, DC_QP: 8, AC_QP: 1, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 46.77dB                                      
37.foreman, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 14.05dB                                      
38.foreman, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 10.10dB                                      
39.foreman, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 30.37dB                                     
40.foreman, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 1, PSNR: 29.98dB                                     
41.foreman, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 0, PSNR: 15.48dB                                      
42.foreman, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 0, intra prediction enable: 1, PSNR: 11.43dB                                      
43.foreman, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 0, PSNR: 30.59dB                                     
44.foreman, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 2, Intra period: 10, intra prediction enable: 1, PSNR: 30.14dB                                     
45.foreman, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 0, PSNR: 32.54dB                                      
46.foreman, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 0, intra prediction enable: 1, PSNR: 23.95dB                                      
47.foreman, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 0, PSNR: 32.26dB                                     
48.foreman, DC_QP: 8, AC_QP: 16, Pixel DPCM mode: 6, Intra period: 10, intra prediction enable: 1, PSNR: 31.45dB                                     
49.foreman, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 0, PSNR: 18.85dB                                      
50.foreman, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 0, intra prediction enable: 1, PSNR: 10.61dB                                      
51.foreman, DC_QP: 16, AC_QP: 1, Pixel DPCM mode: 0, Intra period: 10, intra prediction enable: 0, PSNR: 40.29dB                                     
